4DS
"EXCHANGE%3DETR
MARKET_OPEN_MINUTE=540
MARKET_CLOSE_MINUTE=1050
INTERVAL=60
COLUMNS=DATE,OPEN
DATA=
TIMEZONE_OFFSET=60
a1486396560,7.999
a1486540980,8.02
1,8.02
9,8.123
10,8.21
11,8.3
12,8.4
15,8.4
18,8.43
78,8.25
146,8.299
a1486630860,8.249
58,8.429
166,8.399
167,8.385
169,8.405
171,8.4
172,8.4
191,8.35
a1486742760,8.2
11,8.1
a1486973880,8.196
463,8.011
a1487078460,7.951
86,8.149
a1487164020,7.999
a1487232540,8
3,8
5,7.924
131,8.15
a1487318580,8.2
a1487579940,8.1
93,8.1
127,8.049
328,7.923
460,8.05
465,8.05
a1487675640,8.099
a1487750580,8.148
37,8.142
272,8.001
460,7.99
a1487847300,8.098
43,8.1
308,7.931
334,8.12
a1487940240,7.941
43,7.945
123,7.945
132,8.089
142,7.901
204,7.854
205,7.823
"
